2019/01/01;19:00:00;Singapore                       ;Low Volatility Expected         ;GDP                                                                                                             ;Worse Than Expected             ;% ;1.6;2.90;evised From 3.0
2019/01/03;4:00:00;Spain                           ;Low Volatility Expected         ;Spanish Consumer Confidence                                                                                     ;;;90.9;;91.40
2019/01/03;4:00:00;Euro Zone                       ;Low Volatility Expected         ;M3 Money Supply                                                                                                 ;Worse Than Expected             ;% ;3.7;3.80;3.90
2019/01/03;4:00:00;Euro Zone                       ;Low Volatility Expected         ;Private Sector Loans                                                                                            ;In Line with Expectation        ;% ;3.3;3.30;3.20
2019/01/03;4:30:00;United Kingdom                  ;High Volatility Expected        ;Construction PMI                                                                                                ;Worse Than Expected             ;;52.8;52.90;53.40
2019/01/03;4:40:00;Spain                           ;Moderate Volatility Expected    ;Spanish 10-Year Obligacion Auction                                                                              ;;% ;1.4;;1.46
2019/01/03;4:40:00;Spain                           ;Low Volatility Expected         ;Spanish 3-Year Bonos Auction                                                                                    ;;% ;-0.039;;0.02
2019/01/03;4:40:00;Spain                           ;Low Volatility Expected         ;Spanish 5-Year Bonos Auction                                                                                    ;;% ;0.329;;0.41
2019/01/03;7:00:00;United States                   ;Low Volatility Expected         ;MBA 30-Year Mortgage Rate                                                                                       ;;% ;4.84;;4.94
2019/01/03;7:00:00;United States                   ;Low Volatility Expected         ;MBA Mortgage Applications                                                                                       ;;% ;-8.5;;-5.80
2019/01/03;7:00:00;United States                   ;Low Volatility Expected         ;MBA Purchase Index                                                                                              ;;;219;;238.60
2019/01/03;7:00:00;United States                   ;Low Volatility Expected         ;Mortgage Market Index                                                                                           ;;;293.8;;325.90
2019/01/03;7:00:00;United States                   ;Low Volatility Expected         ;Mortgage Refinance Index                                                                                        ;;;729.9;;832.20
2019/01/03;7:30:00;United States                   ;Low Volatility Expected         ;Challenger Job Cuts                                                                                             ;;% ;35.3;;evised From 51.5
2019/01/03;7:30:00;United States                   ;Low Volatility Expected         ;Challenger Job Cuts                                                                                             ;;K  ;43.9;;53.10
2019/01/03;8:00:00;Singapore                       ;Low Volatility Expected         ;Manufacturing PMI                                                                                               ;;;51.1;;51.50
2019/01/03;8:15:00;United States                   ;High Volatility Expected        ;ADP Nonfarm Employment Change                                                                                   ;Better Than Expected            ;K  ;271;179.00;"evised From 179K>157                              """
2019/01/03;8:30:00;United States                   ;Low Volatility Expected         ;Continuing Jobless Claims                                                                                       ;;K  ;1.74;;"evised From 1.701K>1.708                          """
2019/01/03;8:30:00;United States                   ;Moderate Volatility Expected    ;Initial Jobless Claims                                                                                          ;Worse Than Expected             ;K  ;231;220.00;"evised From 216K>221                              """
2019/01/03;8:30:00;United States                   ;Low Volatility Expected         ;Jobless Claims 4-Week Avg.                                                                                      ;;K  ;218.75;;"evised From 218.00K>219.25                        """
2019/01/03;9:45:00;United States                   ;Low Volatility Expected         ;ISM - NY Business Conditions                                                                                    ;;;848.5;;840.80
2019/01/03;10:00:00;United States                   ;Moderate Volatility Expected    ;ISM Manufacturing Employment                                                                                    ;;;56.2;;58.40
2019/01/03;10:00:00;United States                   ;Low Volatility Expected         ;ISM Manufacturing New Orders Index                                                                              ;;;51.1;;62.10
2019/01/03;10:00:00;United States                   ;High Volatility Expected        ;ISM Manufacturing PMI                                                                                           ;Worse Than Expected             ;;54.1;57.70;59.30
2019/01/03;10:00:00;United States                   ;Low Volatility Expected         ;ISM Manufacturing Prices                                                                                        ;Worse Than Expected             ;;54.9;57.90;60.70
2019/01/03;11:30:00;United States                   ;Low Volatility Expected         ;4-Week Bill Auction                                                                                             ;;% ;2.39;;2.40
2019/01/03;11:30:00;United States                   ;Low Volatility Expected         ;8-Week Bill Auction                                                                                             ;;% ;2.375;;2.42
2019/01/03;15:30:00;United States                   ;Low Volatility Expected         ;Total Vehicle Sales                                                                                             ;Better Than Expected            ;M  ;17.55;17.35;17.49
2019/01/03;16:00:00;South Korea                     ;Low Volatility Expected         ;FX Reserves - USD                                                                                               ;;B  ;403.69;;402.99
2019/01/03;16:30:00;United States                   ;Moderate Volatility Expected    ;API Weekly Crude Oil Stock                                                                                      ;;M  ;-4.5;;6.92
2019/01/03;19:00:00;United Kingdom                  ;Low Volatility Expected         ;BRC Shop Price Index                                                                                            ;;% ;0.3;;0.10
2019/01/03;19:30:00;Japan                           ;Low Volatility Expected         ;Manufacturing PMI                                                                                               ;Better Than Expected            ;;52.6;52.40;52.60
2019/01/03;19:30:00;Hong Kong                       ;Low Volatility Expected         ;Manufacturing PMI                                                                                               ;;;48;;47.10
2019/01/03;20:45:00;China                           ;Moderate Volatility Expected    ;Caixin Services PMI                                                                                             ;Better Than Expected            ;;53.9;52.90;53.80
2019/01/04;0:00:00;India                           ;Low Volatility Expected         ;Nikkei Services PMI                                                                                             ;Better Than Expected            ;;53.2;52.50;53.70
2019/01/04;2:00:00;United Kingdom                  ;Moderate Volatility Expected    ;Nationwide HPI                                                                                                  ;Worse Than Expected             ;% ;0.5;1.50;1.90
2019/01/04;2:00:00;United Kingdom                  ;Moderate Volatility Expected    ;Nationwide HPI                                                                                                  ;Worse Than Expected             ;% ;-0.7;0.10;evised From 0.3
2019/01/04;2:00:00;Brazil                          ;Moderate Volatility Expected    ;IPC-Fipe Inflation Index                                                                                        ;Worse Than Expected             ;% ;0.09;0.15;0.15
2019/01/04;2:15:00;South Africa                    ;Low Volatility Expected         ;South Africa Standard Bank PMI                                                                                  ;;;49;;48.20
2019/01/04;2:45:00;France                          ;Low Volatility Expected         ;French CPI                                                                                                      ;;% ;1.6;;1.90
2019/01/04;2:45:00;France                          ;Moderate Volatility Expected    ;French CPI                                                                                                      ;In Line with Expectation        ;% ;0;0.10;-0.20
2019/01/04;2:45:00;France                          ;Low Volatility Expected         ;French HICP                                                                                                     ;Worse Than Expected             ;% ;1.9;2.00;2.20
2019/01/04;2:45:00;France                          ;Moderate Volatility Expected    ;French HICP                                                                                                     ;;% ;0.1;;-0.20
2019/01/04;3:15:00;Spain                           ;Moderate Volatility Expected    ;Spanish Services PMI                                                                                            ;Better Than Expected            ;;54;53.80;54.00
2019/01/04;3:45:00;Italy                           ;Moderate Volatility Expected    ;Italian Services PMI                                                                                            ;Better Than Expected            ;;50.5;50.20;50.30
2019/01/04;3:50:00;France                          ;Low Volatility Expected         ;French Markit Composite PMI                                                                                     ;Worse Than Expected             ;;48.7;49.40;49.30
2019/01/04;3:50:00;France                          ;Moderate Volatility Expected    ;French Services PMI                                                                                             ;Worse Than Expected             ;;49;49.60;49.60
2019/01/04;3:55:00;Germany                         ;Low Volatility Expected         ;German Composite PMI                                                                                            ;Worse Than Expected             ;;51.6;52.20;52.20
2019/01/04;3:55:00;Germany                         ;Moderate Volatility Expected    ;German Services PMI                                                                                             ;Worse Than Expected             ;;51.8;52.50;52.50
2019/01/04;3:55:00;Germany                         ;High Volatility Expected        ;German Unemployment Change                                                                                      ;Better Than Expected            ;K  ;-14;-12.00;-16.00
2019/01/04;3:55:00;Germany                         ;Moderate Volatility Expected    ;German Unemployment Rate                                                                                        ;In Line with Expectation        ;% ;5;5.00;5.00
2019/01/04;3:55:00;Germany                         ;Low Volatility Expected         ;German Unemployment                                                                                             ;;M  ;2.261;;2.28
2019/01/04;3:55:00;Germany                         ;Low Volatility Expected         ;German Unemployment n.s.a.                                                                                      ;;M  ;2.21;;2.19
2019/01/04;4:00:00;Euro Zone                       ;Moderate Volatility Expected    ;Markit Composite PMI                                                                                            ;Worse Than Expected             ;;51.1;51.30;51.30
2019/01/04;4:00:00;Euro Zone                       ;Moderate Volatility Expected    ;Services PMI                                                                                                    ;Worse Than Expected             ;;51.2;51.40;51.40
2019/01/04;4:20:00;China                           ;Moderate Volatility Expected    ;PBoC Reserve Requirement Ratio                                                                                  ;;% ;14;;
2019/01/04;4:30:00;United Kingdom                  ;Low Volatility Expected         ;BoE Consumer Credit                                                                                             ;Worse Than Expected             ;B  ;0.924;0.95;"evised From 0.894B>0.754                          """
2019/01/04;4:30:00;United Kingdom                  ;Low Volatility Expected         ;M4 Money Supply                                                                                                 ;Worse Than Expected             ;% ;0;0.60;0.70
2019/01/04;4:30:00;United Kingdom                  ;Low Volatility Expected         ;Mortgage Approvals                                                                                              ;Worse Than Expected             ;K  ;63.73;66.50;"evised From 67.09K>66.71                          """
2019/01/04;4:30:00;United Kingdom                  ;Low Volatility Expected         ;Mortgage Lending                                                                                                ;Worse Than Expected             ;B  ;3.45;3.96;"evised From 4.12B>4.09                            """
2019/01/04;4:30:00;United Kingdom                  ;Low Volatility Expected         ;Net Lending to Individuals                                                                                      ;Worse Than Expected             ;B  ;4.4;4.90;"evised From 5.0B>4.8                              """
2019/01/04;4:30:00;United Kingdom                  ;High Volatility Expected        ;Services PMI                                                                                                    ;Better Than Expected            ;;51.2;50.70;50.40
2019/01/04;5:00:00;Italy                           ;Low Volatility Expected         ;Italian CPI                                                                                                     ;;% ;1.1;;1.60
2019/01/04;5:00:00;Italy                           ;Moderate Volatility Expected    ;Italian CPI                                                                                                     ;Worse Than Expected             ;% ;-0.1;0.10;-0.20
2019/01/04;5:00:00;Italy                           ;Low Volatility Expected         ;Italian HICP                                                                                                    ;;% ;-0.1;;-0.30
2019/01/04;5:00:00;Italy                           ;Low Volatility Expected         ;Italian HICP                                                                                                    ;;% ;1.2;;1.60
2019/01/04;5:00:00;Euro Zone                       ;Moderate Volatility Expected    ;Core CPI                                                                                                        ;In Line with Expectation        ;% ;1;1.00;1.00
2019/01/04;5:00:00;Euro Zone                       ;High Volatility Expected        ;CPI                                                                                                             ;Worse Than Expected             ;% ;1.6;1.80;1.90
2019/01/04;5:00:00;Euro Zone                       ;Low Volatility Expected         ;PPI                                                                                                             ;Worse Than Expected             ;% ;4;4.10;4.90
2019/01/04;5:00:00;Euro Zone                       ;Low Volatility Expected         ;PPI                                                                                                             ;Worse Than Expected             ;% ;-0.3;-0.20;0.80
2019/01/04;6:30:00;India                           ;Low Volatility Expected         ;Bank Loan Growth                                                                                                ;;% ;15.1;;15.10
2019/01/04;6:30:00;India                           ;Low Volatility Expected         ;Deposit Growth                                                                                                  ;;% ;9.2;;9.70
2019/01/04;6:30:00;India                           ;Low Volatility Expected         ;FX Reserves. USD                                                                                                ;;B  ;393.4;;393.29
2019/01/04;7:00:00;Brazil                          ;Low Volatility Expected         ;Markit Composite PMI                                                                                            ;;;52.4;;51.60
2019/01/04;7:00:00;Brazil                          ;Low Volatility Expected         ;Markit Services PMI                                                                                             ;;;51.9;;51.30
2019/01/04;8:30:00;United States                   ;Moderate Volatility Expected    ;Average Hourly Earnings                                                                                         ;Better Than Expected            ;% ;0.4;0.30;0.20
2019/01/04;8:30:00;United States                   ;Moderate Volatility Expected    ;Average Hourly Earnings (YoY)                                                                                   ;Better Than Expected            ;% ;3.2;3.00;3.10
2019/01/04;8:30:00;United States                   ;Low Volatility Expected         ;Average Weekly Hours                                                                                            ;In Line with Expectation        ;;34.5;34.50;34.40
2019/01/04;8:30:00;United States                   ;Low Volatility Expected         ;Government Payrolls                                                                                             ;;K  ;11;;"evised From -6.0K>3.0                             """
2019/01/04;8:30:00;United States                   ;Low Volatility Expected         ;Manufacturing Payrolls                                                                                          ;Better Than Expected            ;K  ;32;20.00;27.00
2019/01/04;8:30:00;United States                   ;High Volatility Expected        ;Nonfarm Payrolls                                                                                                ;Better Than Expected            ;K  ;312;178.00;"evised From 155K>176                              """
2019/01/04;8:30:00;United States                   ;Moderate Volatility Expected    ;Participation Rate                                                                                              ;;% ;63.1;;62.90
2019/01/04;8:30:00;United States                   ;Moderate Volatility Expected    ;Private Nonfarm Payrolls                                                                                        ;Better Than Expected            ;K  ;301;175.00;"evised From 161K>173                              """
2019/01/04;8:30:00;United States                   ;Low Volatility Expected         ;U6 Unemployment Rate                                                                                            ;;% ;7.6;;7.60
2019/01/04;8:30:00;United States                   ;High Volatility Expected        ;Unemployment Rate                                                                                               ;Worse Than Expected             ;% ;3.9;3.70;3.70
2019/01/04;8:30:00;Canada                          ;High Volatility Expected        ;Employment Change                                                                                               ;Better Than Expected            ;K  ;9.3;6.80;94.10
2019/01/04;8:30:00;Canada                          ;Low Volatility Expected         ;Full Employment Change                                                                                          ;;K  ;-18.9;;89.90
2019/01/04;8:30:00;Canada                          ;Low Volatility Expected         ;IPPI                                                                                                            ;;% ;-0.8;;0.20
2019/01/04;8:30:00;Canada                          ;Low Volatility Expected         ;IPPI                                                                                                            ;;% ;2.8;;evised From 5.3
2019/01/04;8:30:00;Canada                          ;Low Volatility Expected         ;Part Time Employment Change                                                                                     ;;K  ;28.3;;4.10
2019/01/04;8:30:00;Canada                          ;Low Volatility Expected         ;Participation Rate                                                                                              ;;% ;65.4;;65.40
2019/01/04;8:30:00;Canada                          ;Moderate Volatility Expected    ;RMPI                                                                                                            ;;% ;-11.7;;evised From -2.4
2019/01/04;8:30:00;Canada                          ;Low Volatility Expected         ;RMPI                                                                                                            ;;% ;-9.9;;7.70
2019/01/04;8:30:00;Canada                          ;Moderate Volatility Expected    ;Unemployment Rate                                                                                               ;Better Than Expected            ;% ;5.6;5.70;5.60
2019/01/04;9:45:00;United States                   ;Moderate Volatility Expected    ;Markit Composite PMI                                                                                            ;Worse Than Expected             ;;54.4;54.70;54.70
2019/01/04;9:45:00;United States                   ;Moderate Volatility Expected    ;Services PMI                                                                                                    ;Better Than Expected            ;;54.4;53.50;53.40
2019/01/04;10:15:00;United States                   ;High Volatility Expected        ;Fed Chair Powell Speaks                                                                                         ;;;;;
2019/01/04;10:15:00;United States                   ;Moderate Volatility Expected    ;FOMC Member Bostic Speaks                                                                                       ;;;;;
2019/01/04;10:30:00;United States                   ;Low Volatility Expected         ;Natural Gas Storage                                                                                             ;Worse Than Expected             ;B  ;-20;-47.00;-48.00
2019/01/04;11:00:00;United States                   ;High Volatility Expected        ;Crude Oil Inventories                                                                                           ;Worse Than Expected             ;M  ;0.007;-3.09;-0.05
2019/01/04;11:00:00;United States                   ;Low Volatility Expected         ;Crude Oil Imports                                                                                               ;;M  ;0.468;;-0.41
2019/01/04;11:00:00;United States                   ;Moderate Volatility Expected    ;Cushing Crude Oil Inventories                                                                                   ;;M  ;0.641;;0.80
2019/01/04;11:00:00;United States                   ;Low Volatility Expected         ;Distillate Fuel Production                                                                                      ;;M  ;0.147;;0.05
2019/01/04;11:00:00;United States                   ;Low Volatility Expected         ;EIA Weekly Distillates Stocks                                                                                   ;Worse Than Expected             ;M  ;9.529;1.63;0.00
2019/01/04;11:00:00;United States                   ;Low Volatility Expected         ;Gasoline Production                                                                                             ;;M  ;-0.611;;-0.19
2019/01/04;11:00:00;United States                   ;Low Volatility Expected         ;Heating Oil Stockpiles                                                                                          ;;M  ;0.256;;-0.17
2019/01/04;11:00:00;United States                   ;Low Volatility Expected         ;Gasoline Inventories                                                                                            ;Worse Than Expected             ;M  ;6.89;1.97;3.00
2019/01/04;13:00:00;United States                   ;Moderate Volatility Expected    ;U.S. Baker Hughes Oil Rig Count                                                                                 ;;;877;;885.00
2019/01/04;13:00:00;United States                   ;Moderate Volatility Expected    ;U.S. Baker Hughes Total Rig Count                                                                               ;;;1.075;;1.08
2019/01/04;13:30:00;United States                   ;Low Volatility Expected         ;FOMC Member Barkin Speaks                                                                                       ;;;;;
2019/01/04;13:30:00;United States                   ;Moderate Volatility Expected    ;FOMC Member Bullard Speaks                                                                                      ;;;;;
2019/01/05;2:45:00;France                          ;Low Volatility Expected         ;French Exports                                                                                                  ;;;;;43.20
2019/01/05;2:45:00;France                          ;Low Volatility Expected         ;French Imports                                                                                                  ;;;;;47.30
2019/01/05;2:45:00;France                          ;Low Volatility Expected         ;French Trade Balance                                                                                            ;;B  ;;-6.00;-4.10
2019/01/05;4:55:00;China                           ;Moderate Volatility Expected    ;PBoC Reserve Requirement Ratio                                                                                  ;;;;;14.50
2019/01/05;10:15:00;United States                   ;Moderate Volatility Expected    ;FOMC Member Bostic Speaks                                                                                       ;;;;;
2019/01/05;10:15:00;United States                   ;Moderate Volatility Expected    ;FOMC Member Harker Speaks                                                                                       ;;;;;
2019/01/06;16:30:00;Australia                       ;Moderate Volatility Expected    ;AIG Manufacturing Index                                                                                         ;;;49.5;;51.30
2019/01/06;18:50:00;Japan                           ;Low Volatility Expected         ;Monetary Base                                                                                                   ;Worse Than Expected             ;% ;4.8;5.80;6.10
2019/01/07;1:30:00;United Kingdom                  ;Moderate Volatility Expected    ;Investing.com GBP/USD Index                                                                                     ;;% ;31.5;;36.60
2019/01/07;1:30:00;United States                   ;Moderate Volatility Expected    ;Investing.com Gold Index                                                                                        ;;% ;64.4;;65.10
2019/01/07;1:30:00;United States                   ;Moderate Volatility Expected    ;"Investing.com S&amp;P 500 Index                                                                                 ";;% ;69.2;;76.70
2019/01/07;1:30:00;Canada                          ;Moderate Volatility Expected    ;Investing.com USD/CAD Index                                                                                     ;;% ;46.9;;37.30
2019/01/07;1:30:00;Switzerland                     ;Moderate Volatility Expected    ;Investing.com USD/CHF Index                                                                                     ;;% ;47.7;;50.40
2019/01/07;1:30:00;Australia                       ;Moderate Volatility Expected    ;Investing.com AUD/USD Index                                                                                     ;;% ;53.5;;57.70
2019/01/07;1:30:00;Japan                           ;Moderate Volatility Expected    ;Investing.com USD/JPY Index                                                                                     ;;% ;70.3;;71.50
2019/01/07;1:30:00;New Zealand                     ;Moderate Volatility Expected    ;Investing.com NZD/USD Index                                                                                     ;;% ;57.9;;58.40
2019/01/07;1:30:00;Euro Zone                       ;Moderate Volatility Expected    ;Investing.com EUR/USD Index                                                                                     ;;% ;43.8;;45.20
2019/01/07;2:00:00;Germany                         ;Moderate Volatility Expected    ;German Factory Orders                                                                                           ;Worse Than Expected             ;% ;-1;-0.20;evised From 0.3
2019/01/07;2:00:00;Germany                         ;Low Volatility Expected         ;German Retail Sales                                                                                             ;Better Than Expected            ;% ;1.1;-0.70;evised From 5.0
2019/01/07;2:00:00;Germany                         ;Moderate Volatility Expected    ;German Retail Sales                                                                                             ;Better Than Expected            ;% ;1.4;0.40;evised From -0.3
2019/01/07;3:00:00;China                           ;Low Volatility Expected         ;FX Reserves (USD)                                                                                               ;In Line with Expectation        ;T  ;3.07;3.07;3.06
2019/01/07;3:30:00;Hong Kong                       ;Low Volatility Expected         ;Foreign Reserves (USD)                                                                                          ;;B  ;424.6;;423.20
2019/01/07;4:00:00;Italy                           ;Low Volatility Expected         ;Italian Public Deficit                                                                                          ;;% ;-1.7;;evised From 0.5
2019/01/07;4:00:00;Singapore                       ;Low Volatility Expected         ;Foreign Reserves USD                                                                                            ;;B  ;287.7;;289.50
2019/01/07;4:30:00;Euro Zone                       ;Low Volatility Expected         ;Sentix Investor Confidence                                                                                      ;Better Than Expected            ;;-1.5;-2.00;-0.30
2019/01/07;5:00:00;Euro Zone                       ;Low Volatility Expected         ;Retail Sales                                                                                                    ;;% ;1.1;;evised From 1.7
2019/01/07;5:00:00;Euro Zone                       ;Moderate Volatility Expected    ;Retail Sales                                                                                                    ;Better Than Expected            ;% ;0.6;0.20;evised From 0.3
2019/01/07;6:30:00;Brazil                          ;Moderate Volatility Expected    ;BCB Focus Market Readout                                                                                        ;;;;;
2019/01/07;9:00:00;France                          ;Low Volatility Expected         ;French 12-Month BTF Auction                                                                                     ;;% ;-0.565;;-0.57
2019/01/07;9:00:00;France                          ;Low Volatility Expected         ;French 3-Month BTF Auction                                                                                      ;;% ;-0.574;;-0.57
2019/01/07;9:00:00;France                          ;Low Volatility Expected         ;French 6-Month BTF Auction                                                                                      ;;% ;-0.576;;-0.57
2019/01/07;10:00:00;United States                   ;Low Volatility Expected         ;CB Employment Trends Index                                                                                      ;;;111.6;;"evised From 110.40>110.20                         """
2019/01/07;10:00:00;United States                   ;Low Volatility Expected         ;ISM Non-Manufacturing Business Activity                                                                         ;Worse Than Expected             ;;59.9;64.00;65.20
2019/01/07;10:00:00;United States                   ;Moderate Volatility Expected    ;ISM Non-Manufacturing Employment                                                                                ;;;56.3;;58.40
2019/01/07;10:00:00;United States                   ;Low Volatility Expected         ;ISM Non-Manufacturing New Orders                                                                                ;;;62.7;;62.50
2019/01/07;10:00:00;United States                   ;High Volatility Expected        ;ISM Non-Manufacturing PMI                                                                                       ;Worse Than Expected             ;;57.6;59.60;60.70
2019/01/07;10:00:00;United States                   ;Low Volatility Expected         ;ISM Non-Manufacturing Prices                                                                                    ;;;57.6;;64.30
2019/01/07;10:00:00;Canada                          ;Low Volatility Expected         ;Ivey PMI n.s.a                                                                                                  ;;;48.2;;57.30
2019/01/07;10:00:00;Canada                          ;High Volatility Expected        ;Ivey PMI                                                                                                        ;Better Than Expected            ;;59.7;58.10;57.20
2019/01/07;11:30:00;United States                   ;Low Volatility Expected         ;3-Month Bill Auction                                                                                            ;;% ;2.41;;2.47
2019/01/07;11:30:00;United States                   ;Low Volatility Expected         ;6-Month Bill Auction                                                                                            ;;% ;2.47;;2.51
2019/01/07;12:40:00;United States                   ;Moderate Volatility Expected    ;FOMC Member Bostic Speaks                                                                                       ;;;;;
2019/01/07;18:00:00;South Korea                     ;Low Volatility Expected         ;Current Account                                                                                                 ;;B  ;5.06;;9.19
2019/01/07;19:30:00;Australia                       ;Low Volatility Expected         ;ANZ Job Advertisements                                                                                          ;;% ;0;;evised From -0.3
2019/01/07;19:30:00;Australia                       ;Low Volatility Expected         ;Exports                                                                                                         ;;% ;1;;1.00
2019/01/07;19:30:00;Australia                       ;Low Volatility Expected         ;Imports                                                                                                         ;;% ;2;;3.00
2019/01/07;19:30:00;Australia                       ;Moderate Volatility Expected    ;Trade Balance                                                                                                   ;Worse Than Expected             ;B  ;1.93;2.23;2.32
2019/01/07;22:35:00;Japan                           ;Moderate Volatility Expected    ;10-Year JGB Auction                                                                                             ;;% ;0.02;;0.07
2019/01/08;0:00:00;Japan                           ;Low Volatility Expected         ;Household Confidence                                                                                            ;Worse Than Expected             ;;42.7;42.80;42.90
2019/01/08;1:00:00;South Africa                    ;Low Volatility Expected         ;Foreign Reserves (USD)                                                                                          ;;B  ;51.64;;50.67
2019/01/08;1:00:00;South Africa                    ;Low Volatility Expected         ;Net FX Reserves  (USD)                                                                                          ;;B  ;43.09;;42.58
2019/01/08;1:45:00;Switzerland                     ;Moderate Volatility Expected    ;Unemployment Rate n.s.a.                                                                                        ;;% ;2.7;;2.50
2019/01/08;1:45:00;Switzerland                     ;Moderate Volatility Expected    ;Unemployment Rate s.a.                                                                                          ;In Line with Expectation        ;% ;2.4;2.40;2.40
2019/01/08;2:00:00;Germany                         ;Moderate Volatility Expected    ;German Industrial Production                                                                                    ;Worse Than Expected             ;% ;-1.9;0.30;evised From -0.5
